timestamp,tweet_text,username,all_hashtags,followers_count
2020-03-03 21:53:29,b'Who will win the #SuperTuesday? #supertuesday2020 #Sanders #Biden #Warren #Buttigieg #Klobuchar #Bloomberg #CaliforniaPrimary #TexasPrimary #VirginiaPrimary #Massachusetts #MinnesotaPrimary #NorthCarolina #Texas #Utah #Colorado #Tennessee #Alabama #Oklahoma #Maine #Elections2020',b'ilCosmopolitico',"['SuperTuesday', 'supertuesday2020', 'Sanders', 'Biden', 'Warren', 'Buttigieg', 'Klobuchar', 'Bloomberg', 'CaliforniaPrimary', 'TexasPrimary', 'VirginiaPrimary', 'Massachusetts', 'MinnesotaPrimary', 'NorthCarolina', 'Texas', 'Utah', 'Colorado', 'Tennessee', 'Alabama', 'Oklahoma', 'Maine', 'Elections2020']",903
2020-03-03 21:53:12,"b'Dems now have a plan of attack to stop #BernieSanders - #Buttigieg, #Klouchar, #steyer out w support to #Biden - #BetoORourke supports Biden - #Bloomberg in till end to force brokered convention - Super Delegates will take Bernie out'",b'PeterDawsonUSA',"['BernieSanders', 'Buttigieg', 'Klouchar', 'steyer', 'Biden', 'BetoORourke', 'Bloomberg']",1436
2020-03-03 21:52:44,b'Wow. #Biden jumped 10 points overnight. #Sanders &amp; #Bloomberg saw no significant change. @MorningConsult poll conducted after #Buttigieg &amp; #Klobuchar endorsed Biden. #BidenForPresident https://t.co/RhrRu7beVc',b'JillPiggott',"['Biden', 'Sanders', 'Bloomberg', 'Buttigieg', 'Klobuchar', 'BidenForPresident']",1221
2020-03-03 21:51:30,b'@DonaldJTrumpJr #Bloomberg has never had to share his food and it shows...  Nobody wants your germs  Probably double dips his chips too. https://t.co/fR3c6gS2o7',b'damonejohnson12',['Bloomberg'],407
2020-03-03 21:51:25,b'This forecaster a #progressive sees @BernieSanders winning the majority of delegates. #Bloomberg takes votes away from @JoeBiden. Bernie seems to be the underdog and getting out his vote is the key. #VoteBlue2020 #VoteBlueNoMatterWho https://t.co/0Fve0zV32r',b'DavidCBarron',"['progressive', 'Bloomberg', 'VoteBlue2020', 'VoteBlueNoMatterWho']",222
2020-03-03 21:49:13,b'It goes without saying that Mike #Bloomberg has been a late arrival to the Dems and has not turned out to be an inspiring or convincing campaigner. Trump would demonize him as the representative of a plutocratic class that has ruined everything for the working classes.',b'lawprashant',['Bloomberg'],199
2020-03-03 21:48:45,"b'If you early voted before the fallout of candidates following SC, do you wish you could change your vote to: #supertuesday #bernie #biden #warren #buttigieg #kkobuchar #steyer #bloomberg REPLY to vote for To Bloomberg'",b'WozvilleNation',"['supertuesday', 'bernie', 'biden', 'warren', 'buttigieg', 'kkobuchar', 'steyer', 'bloomberg']",1037
2020-03-03 21:44:52,"b""What is the difference between Trump and Mr. President Obama? He is called with Mr. President Obama.  Trump is just Trump.  We'll be rid of the bastard in 10 months and 16 days. #trump #dems #resister #flotus #potus #unwantedivanka #maga #WWG1WGA #Biden #Bernie2020 #Bloomberg https://t.co/BiegX6Flz4""",b'Ha_Aretz',"['trump', 'dems', 'resister', 'flotus', 'potus', 'unwantedivanka', 'maga', 'WWG1WGA', 'Biden', 'Bernie2020', 'Bloomberg']",249
2020-03-03 21:44:43,"b'No, Mike.  No.  #Bloomberg https://t.co/nfb5oxJpKj'",b'charles_bellows',['Bloomberg'],275
2020-03-03 21:44:40,"b""@CNN who's the best choice? between #bernie #bloomberg #biden #warren #Tulsi #TulsiGabbard?""",b'dougalpollux',"['bernie', 'bloomberg', 'biden', 'warren', 'Tulsi', 'TulsiGabbard']",1539
2020-03-03 21:44:29,b'@iminhobengoshi @CharlesMBlow Better idea: talk to the people #Bloomberg terrorized for 12 years.',b'EdwardLCote',['Bloomberg'],391
2020-03-03 21:43:57,b'Big Sanders win could add risk to markets already hit by coronavirus #BernieSanders #MedicareForAll #Medicare #Medicaid #Obamacare #Stocks #Healthcare #Doctors #Hospitals #Democrats #Biden #Bloomberg #SuperTuesday https://t.co/NpzF5keSeI',b'PSuiteNetwork',"['BernieSanders', 'MedicareForAll', 'Medicare', 'Medicaid', 'Obamacare', 'Stocks', 'Healthcare', 'Doctors', 'Hospitals', 'Democrats', 'Biden', 'Bloomberg', 'SuperTuesday']",2728
2020-03-03 21:42:07,"b'Ok but despite the fact that it\xe2\x80\x99s Bloomberg, who does this!?\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad #Bloomberg #CoronaOutbreak #KAG https://t.co/90UvoxukhF'",b'AshleyStamets',"['Bloomberg', 'CoronaOutbreak', 'KAG']",1956
2020-03-03 21:40:58,"b'The real question is why is #Bloomberg still in? If he gives a damn about defeating Trump he\xe2\x80\x99d get behind #Biden while publicly kissing the righteous ass of one of the most brilliant women Dem Senators ever! Bad move, Mike. Disgusting, actually. https://t.co/EpJZJgckIA'",b'NancyLeeGrahn',"['Bloomberg', 'Biden']",143638
2020-03-03 21:40:46,b'#Bloomberg explains how President #Trump #MAGA https://t.co/J0cN9KnrIn',b'AynTrump',"['Bloomberg', 'Trump', 'MAGA']",1346
2020-03-03 21:40:23,"b'#AScaucus voting ends in 1-1/2 hours, 12 noon local time. After an hour lunch break, delegate selection at 1pm local.   #SuperTuesdsy #AmericanSamoa #Democrats2020 #Biden #Bloomberg #Gabbard #Sanders #Warren'",b'Fanua',"['AScaucus', 'SuperTuesdsy', 'AmericanSamoa', 'Democrats2020', 'Biden', 'Bloomberg', 'Gabbard', 'Sanders', 'Warren']",1146
2020-03-03 21:37:40,b'@meenaharris Has #Bloomberg dropped out?  He\xe2\x80\x99s just taking votes.   Is #KamalaHarris back yet?',b'Hela0fAsgard',"['Bloomberg', 'KamalaHarris']",64
2020-03-03 21:37:31,"b'Disrespect toward any candidate is negative. Sincere &amp; sophisticated dialogue makes America great. Disparaging #Bloomberg, #Biden, #Bernie, #Warren, &amp; #Trump does not move us forward. Treating out-groups the way you think they deserve to be treated hurts many people. #GoldenRule'",b'jokemaker69',"['Bloomberg', 'Biden', 'Bernie', 'Warren', 'Trump', 'GoldenRule']",0
2020-03-03 21:36:58,"b'Why does @NicolleDWallace want to torpedo #Bloomberg again today on @DeadlineWH??? Mike did much, much better on both the last 2 debates than #Biden did in the 1st 8 debates!!! For some reason, @NicolleDWallace is a real #Bloomberg HATER!!!'",b'Intrepid7303',"['Bloomberg', 'Biden', 'Bloomberg']",19
2020-03-03 21:36:28,"b""@jheil broke NEWS for me, though I had expected, especially when the #Obama Camp let it be known they didn't appreciate #Bloomberg running ads that looked like an endorsement, that neither Barack nor Mike like one another. #DeadlineWH  #MSNBC""",b'JamesSemaj1220',"['Obama', 'Bloomberg', 'DeadlineWH', 'MSNBC']",1571
2020-03-03 21:36:23,"b'#Bloomberg  Mmm, finger looking good! https://t.co/IG7J0eHJO2'",b'Leica0071',['Bloomberg'],15904
2020-03-03 21:34:09,b'What a pig.  #Bloomberg https://t.co/zZjkPxOllR',b'Carolde',['Bloomberg'],70747
2020-03-03 21:33:49,"b'See folks, not much difference between #Bloomberg and #Trump afterall ... https://t.co/QVNDYl130y'",b'DanGarrett97',"['Bloomberg', 'Trump']",5680
2020-03-03 21:32:45,"b'""#Bloomberg is plausible only bc he\'s a billionaire and the corporate elites think #Biden is hopeless. The billionaire class is going to turn to one of their own unless they think that Biden is able to block Sanders."" - @thenation editor @ddguttenplan https://t.co/NvkvQiZp41'",b'yourcallradio',"['Bloomberg', 'Biden']",1301
2020-03-03 21:31:02,b'@JenniferJJacobs I\xe2\x80\x99m actually surprised at you for this disingenuous and disinformation tweet!! #ClickBait   @whca @BloombergPR @bpolitics #bloomberg @WhiteHouse @VP',b'debz526',"['ClickBait', 'bloomberg']",1990
